ImageNumber,Filename,Treatment,Well,Time_hr
1,VID654_B2_1_00d00h00m.tif,IL34neg_Vehicle,B2,0
2,VID654_B2_1_00d02h00m.tif,IL34neg_Vehicle,B2,2
3,VID654_B2_1_00d04h00m.tif,IL34neg_Vehicle,B2,4
4,VID654_B2_1_00d06h00m.tif,IL34neg_Vehicle,B2,6
5,VID654_B2_1_00d08h00m.tif,IL34neg_Vehicle,B2,8
6,VID654_B2_1_00d10h00m.tif,IL34neg_Vehicle,B2,10
7,VID654_B2_1_00d12h00m.tif,IL34neg_Vehicle,B2,12
8,VID654_B2_1_00d14h00m.tif,IL34neg_Vehicle,B2,14
9,VID654_B2_1_00d16h00m.tif,IL34neg_Vehicle,B2,16
10,VID654_B2_1_00d18h00m.tif,IL34neg_Vehicle,B2,18
11,VID654_B2_1_00d20h00m.tif,IL34neg_Vehicle,B2,20
12,VID654_B2_1_00d22h00m.tif,IL34neg_Vehicle,B2,22
13,VID654_B2_1_01d00h00m.tif,IL34neg_Vehicle,B2,24
14,VID654_B2_3_00d00h00m.tif,IL34neg_Vehicle,B2,0
15,VID654_B2_3_00d02h00m.tif,IL34neg_Vehicle,B2,2
16,VID654_B2_3_00d04h00m.tif,IL34neg_Vehicle,B2,4
17,VID654_B2_3_00d06h00m.tif,IL34neg_Vehicle,B2,6
18,VID654_B2_3_00d08h00m.tif,IL34neg_Vehicle,B2,8
19,VID654_B2_3_00d10h00m.tif,IL34neg_Vehicle,B2,10
20,VID654_B2_3_00d12h00m.tif,IL34neg_Vehicle,B2,12
21,VID654_B2_3_00d14h00m.tif,IL34neg_Vehicle,B2,14
22,VID654_B2_3_00d16h00m.tif,IL34neg_Vehicle,B2,16
23,VID654_B2_3_00d18h00m.tif,IL34neg_Vehicle,B2,18
24,VID654_B2_3_00d20h00m.tif,IL34neg_Vehicle,B2,20
25,VID654_B2_3_00d22h00m.tif,IL34neg_Vehicle,B2,22
26,VID654_B2_3_01d00h00m.tif,IL34neg_Vehicle,B2,24
27,VID654_B3_1_00d00h00m.tif,LPS,B3,0
28,VID654_B3_1_00d02h00m.tif,LPS,B3,2
29,VID654_B3_1_00d04h00m.tif,LPS,B3,4
30,VID654_B3_1_00d06h00m.tif,LPS,B3,6
31,VID654_B3_1_00d08h00m.tif,LPS,B3,8
32,VID654_B3_1_00d10h00m.tif,LPS,B3,10
33,VID654_B3_1_00d12h00m.tif,LPS,B3,12
34,VID654_B3_1_00d14h00m.tif,LPS,B3,14
35,VID654_B3_1_00d16h00m.tif,LPS,B3,16
36,VID654_B3_1_00d18h00m.tif,LPS,B3,18
37,VID654_B3_1_00d20h00m.tif,LPS,B3,20
38,VID654_B3_1_00d22h00m.tif,LPS,B3,22
39,VID654_B3_1_01d00h00m.tif,LPS,B3,24
40,VID654_B3_3_00d00h00m.tif,LPS,B3,0
41,VID654_B3_3_00d02h00m.tif,LPS,B3,2
42,VID654_B3_3_00d04h00m.tif,LPS,B3,4
43,VID654_B3_3_00d06h00m.tif,LPS,B3,6
44,VID654_B3_3_00d08h00m.tif,LPS,B3,8
45,VID654_B3_3_00d10h00m.tif,LPS,B3,10
46,VID654_B3_3_00d12h00m.tif,LPS,B3,12
47,VID654_B3_3_00d14h00m.tif,LPS,B3,14
48,VID654_B3_3_00d16h00m.tif,LPS,B3,16
49,VID654_B3_3_00d18h00m.tif,LPS,B3,18
50,VID654_B3_3_00d20h00m.tif,LPS,B3,20
51,VID654_B3_3_00d22h00m.tif,LPS,B3,22
52,VID654_B3_3_01d00h00m.tif,LPS,B3,24
53,VID654_B4_1_00d00h00m.tif,IFNr,B4,0
54,VID654_B4_1_00d02h00m.tif,IFNr,B4,2
55,VID654_B4_1_00d04h00m.tif,IFNr,B4,4
56,VID654_B4_1_00d06h00m.tif,IFNr,B4,6
57,VID654_B4_1_00d08h00m.tif,IFNr,B4,8
58,VID654_B4_1_00d10h00m.tif,IFNr,B4,10
59,VID654_B4_1_00d12h00m.tif,IFNr,B4,12
60,VID654_B4_1_00d14h00m.tif,IFNr,B4,14
61,VID654_B4_1_00d16h00m.tif,IFNr,B4,16
62,VID654_B4_1_00d18h00m.tif,IFNr,B4,18
63,VID654_B4_1_00d20h00m.tif,IFNr,B4,20
64,VID654_B4_1_00d22h00m.tif,IFNr,B4,22
65,VID654_B4_1_01d00h00m.tif,IFNr,B4,24
66,VID654_B4_3_00d00h00m.tif,IFNr,B4,0
67,VID654_B4_3_00d02h00m.tif,IFNr,B4,2
68,VID654_B4_3_00d04h00m.tif,IFNr,B4,4
69,VID654_B4_3_00d06h00m.tif,IFNr,B4,6
70,VID654_B4_3_00d08h00m.tif,IFNr,B4,8
71,VID654_B4_3_00d10h00m.tif,IFNr,B4,10
72,VID654_B4_3_00d12h00m.tif,IFNr,B4,12
73,VID654_B4_3_00d14h00m.tif,IFNr,B4,14
74,VID654_B4_3_00d16h00m.tif,IFNr,B4,16
75,VID654_B4_3_00d18h00m.tif,IFNr,B4,18
76,VID654_B4_3_00d20h00m.tif,IFNr,B4,20
77,VID654_B4_3_00d22h00m.tif,IFNr,B4,22
78,VID654_B4_3_01d00h00m.tif,IFNr,B4,24
79,VID654_B5_1_00d00h00m.tif,LPS+IFNr,B5,0
80,VID654_B5_1_00d02h00m.tif,LPS+IFNr,B5,2
81,VID654_B5_1_00d04h00m.tif,LPS+IFNr,B5,4
82,VID654_B5_1_00d06h00m.tif,LPS+IFNr,B5,6
83,VID654_B5_1_00d08h00m.tif,LPS+IFNr,B5,8
84,VID654_B5_1_00d10h00m.tif,LPS+IFNr,B5,10
85,VID654_B5_1_00d12h00m.tif,LPS+IFNr,B5,12
86,VID654_B5_1_00d14h00m.tif,LPS+IFNr,B5,14
87,VID654_B5_1_00d16h00m.tif,LPS+IFNr,B5,16
88,VID654_B5_1_00d18h00m.tif,LPS+IFNr,B5,18
89,VID654_B5_1_00d20h00m.tif,LPS+IFNr,B5,20
90,VID654_B5_1_00d22h00m.tif,LPS+IFNr,B5,22
91,VID654_B5_1_01d00h00m.tif,LPS+IFNr,B5,24
92,VID654_B5_3_00d00h00m.tif,LPS+IFNr,B5,0
93,VID654_B5_3_00d02h00m.tif,LPS+IFNr,B5,2
94,VID654_B5_3_00d04h00m.tif,LPS+IFNr,B5,4
95,VID654_B5_3_00d06h00m.tif,LPS+IFNr,B5,6
96,VID654_B5_3_00d08h00m.tif,LPS+IFNr,B5,8
97,VID654_B5_3_00d10h00m.tif,LPS+IFNr,B5,10
98,VID654_B5_3_00d12h00m.tif,LPS+IFNr,B5,12
99,VID654_B5_3_00d14h00m.tif,LPS+IFNr,B5,14
100,VID654_B5_3_00d16h00m.tif,LPS+IFNr,B5,16
101,VID654_B5_3_00d18h00m.tif,LPS+IFNr,B5,18
102,VID654_B5_3_00d20h00m.tif,LPS+IFNr,B5,20
103,VID654_B5_3_00d22h00m.tif,LPS+IFNr,B5,22
104,VID654_B5_3_01d00h00m.tif,LPS+IFNr,B5,24
105,VID654_B6_1_00d00h00m.tif,IL34neg_IL1beta,B6,0
106,VID654_B6_1_00d02h00m.tif,IL34neg_IL1beta,B6,2
107,VID654_B6_1_00d04h00m.tif,IL34neg_IL1beta,B6,4
108,VID654_B6_1_00d06h00m.tif,IL34neg_IL1beta,B6,6
109,VID654_B6_1_00d08h00m.tif,IL34neg_IL1beta,B6,8
110,VID654_B6_1_00d10h00m.tif,IL34neg_IL1beta,B6,10
111,VID654_B6_1_00d12h00m.tif,IL34neg_IL1beta,B6,12
112,VID654_B6_1_00d14h00m.tif,IL34neg_IL1beta,B6,14
113,VID654_B6_1_00d16h00m.tif,IL34neg_IL1beta,B6,16
114,VID654_B6_1_00d18h00m.tif,IL34neg_IL1beta,B6,18
115,VID654_B6_1_00d20h00m.tif,IL34neg_IL1beta,B6,20
116,VID654_B6_1_00d22h00m.tif,IL34neg_IL1beta,B6,22
117,VID654_B6_1_01d00h00m.tif,IL34neg_IL1beta,B6,24
118,VID654_B6_3_00d00h00m.tif,IL34neg_IL1beta,B6,0
119,VID654_B6_3_00d02h00m.tif,IL34neg_IL1beta,B6,2
120,VID654_B6_3_00d04h00m.tif,IL34neg_IL1beta,B6,4
121,VID654_B6_3_00d06h00m.tif,IL34neg_IL1beta,B6,6
122,VID654_B6_3_00d08h00m.tif,IL34neg_IL1beta,B6,8
123,VID654_B6_3_00d10h00m.tif,IL34neg_IL1beta,B6,10
124,VID654_B6_3_00d12h00m.tif,IL34neg_IL1beta,B6,12
125,VID654_B6_3_00d14h00m.tif,IL34neg_IL1beta,B6,14
126,VID654_B6_3_00d16h00m.tif,IL34neg_IL1beta,B6,16
127,VID654_B6_3_00d18h00m.tif,IL34neg_IL1beta,B6,18
128,VID654_B6_3_00d20h00m.tif,IL34neg_IL1beta,B6,20
129,VID654_B6_3_00d22h00m.tif,IL34neg_IL1beta,B6,22
130,VID654_B6_3_01d00h00m.tif,IL34neg_IL1beta,B6,24
131,VID654_B7_1_00d00h00m.tif,IL6,B7,0
132,VID654_B7_1_00d02h00m.tif,IL6,B7,2
133,VID654_B7_1_00d04h00m.tif,IL6,B7,4
134,VID654_B7_1_00d06h00m.tif,IL6,B7,6
135,VID654_B7_1_00d08h00m.tif,IL6,B7,8
136,VID654_B7_1_00d10h00m.tif,IL6,B7,10
137,VID654_B7_1_00d12h00m.tif,IL6,B7,12
138,VID654_B7_1_00d14h00m.tif,IL6,B7,14
139,VID654_B7_1_00d16h00m.tif,IL6,B7,16
140,VID654_B7_1_00d18h00m.tif,IL6,B7,18
141,VID654_B7_1_00d20h00m.tif,IL6,B7,20
142,VID654_B7_1_00d22h00m.tif,IL6,B7,22
143,VID654_B7_1_01d00h00m.tif,IL6,B7,24
144,VID654_B7_3_00d00h00m.tif,IL6,B7,0
145,VID654_B7_3_00d02h00m.tif,IL6,B7,2
146,VID654_B7_3_00d04h00m.tif,IL6,B7,4
147,VID654_B7_3_00d06h00m.tif,IL6,B7,6
148,VID654_B7_3_00d08h00m.tif,IL6,B7,8
149,VID654_B7_3_00d10h00m.tif,IL6,B7,10
150,VID654_B7_3_00d12h00m.tif,IL6,B7,12
151,VID654_B7_3_00d14h00m.tif,IL6,B7,14
152,VID654_B7_3_00d16h00m.tif,IL6,B7,16
153,VID654_B7_3_00d18h00m.tif,IL6,B7,18
154,VID654_B7_3_00d20h00m.tif,IL6,B7,20
155,VID654_B7_3_00d22h00m.tif,IL6,B7,22
156,VID654_B7_3_01d00h00m.tif,IL6,B7,24
157,VID654_B8_1_00d00h00m.tif,IL34neg_TNFa,B8,0
158,VID654_B8_1_00d02h00m.tif,IL34neg_TNFa,B8,2
159,VID654_B8_1_00d04h00m.tif,IL34neg_TNFa,B8,4
160,VID654_B8_1_00d06h00m.tif,IL34neg_TNFa,B8,6
161,VID654_B8_1_00d08h00m.tif,IL34neg_TNFa,B8,8
162,VID654_B8_1_00d10h00m.tif,IL34neg_TNFa,B8,10
163,VID654_B8_1_00d12h00m.tif,IL34neg_TNFa,B8,12
164,VID654_B8_1_00d14h00m.tif,IL34neg_TNFa,B8,14
165,VID654_B8_1_00d16h00m.tif,IL34neg_TNFa,B8,16
166,VID654_B8_1_00d18h00m.tif,IL34neg_TNFa,B8,18
167,VID654_B8_1_00d20h00m.tif,IL34neg_TNFa,B8,20
168,VID654_B8_1_00d22h00m.tif,IL34neg_TNFa,B8,22
169,VID654_B8_1_01d00h00m.tif,IL34neg_TNFa,B8,24
170,VID654_B8_3_00d00h00m.tif,IL34neg_TNFa,B8,0
171,VID654_B8_3_00d02h00m.tif,IL34neg_TNFa,B8,2
172,VID654_B8_3_00d04h00m.tif,IL34neg_TNFa,B8,4
173,VID654_B8_3_00d06h00m.tif,IL34neg_TNFa,B8,6
174,VID654_B8_3_00d08h00m.tif,IL34neg_TNFa,B8,8
175,VID654_B8_3_00d10h00m.tif,IL34neg_TNFa,B8,10
176,VID654_B8_3_00d12h00m.tif,IL34neg_TNFa,B8,12
177,VID654_B8_3_00d14h00m.tif,IL34neg_TNFa,B8,14
178,VID654_B8_3_00d16h00m.tif,IL34neg_TNFa,B8,16
179,VID654_B8_3_00d18h00m.tif,IL34neg_TNFa,B8,18
180,VID654_B8_3_00d20h00m.tif,IL34neg_TNFa,B8,20
181,VID654_B8_3_00d22h00m.tif,IL34neg_TNFa,B8,22
182,VID654_B8_3_01d00h00m.tif,IL34neg_TNFa,B8,24
183,VID654_B9_1_00d00h00m.tif,,B9,0
184,VID654_B9_1_00d02h00m.tif,,B9,2
185,VID654_B9_1_00d04h00m.tif,,B9,4
186,VID654_B9_1_00d06h00m.tif,,B9,6
187,VID654_B9_1_00d08h00m.tif,,B9,8
188,VID654_B9_1_00d10h00m.tif,,B9,10
189,VID654_B9_1_00d12h00m.tif,,B9,12
190,VID654_B9_1_00d14h00m.tif,,B9,14
191,VID654_B9_1_00d16h00m.tif,,B9,16
192,VID654_B9_1_00d18h00m.tif,,B9,18
193,VID654_B9_1_00d20h00m.tif,,B9,20
194,VID654_B9_1_00d22h00m.tif,,B9,22
195,VID654_B9_1_01d00h00m.tif,,B9,24
196,VID654_B9_3_00d00h00m.tif,,B9,0
197,VID654_B9_3_00d02h00m.tif,,B9,2
198,VID654_B9_3_00d04h00m.tif,,B9,4
199,VID654_B9_3_00d06h00m.tif,,B9,6
200,VID654_B9_3_00d08h00m.tif,,B9,8
201,VID654_B9_3_00d10h00m.tif,,B9,10
202,VID654_B9_3_00d12h00m.tif,,B9,12
203,VID654_B9_3_00d14h00m.tif,,B9,14
204,VID654_B9_3_00d16h00m.tif,,B9,16
205,VID654_B9_3_00d18h00m.tif,,B9,18
206,VID654_B9_3_00d20h00m.tif,,B9,20
207,VID654_B9_3_00d22h00m.tif,,B9,22
208,VID654_B9_3_01d00h00m.tif,,B9,24
209,VID654_C2_1_00d00h00m.tif,IL34neg_Vehicle,C2,0
210,VID654_C2_1_00d02h00m.tif,IL34neg_Vehicle,C2,2
211,VID654_C2_1_00d04h00m.tif,IL34neg_Vehicle,C2,4
212,VID654_C2_1_00d06h00m.tif,IL34neg_Vehicle,C2,6
213,VID654_C2_1_00d08h00m.tif,IL34neg_Vehicle,C2,8
214,VID654_C2_1_00d10h00m.tif,IL34neg_Vehicle,C2,10
215,VID654_C2_1_00d12h00m.tif,IL34neg_Vehicle,C2,12
216,VID654_C2_1_00d14h00m.tif,IL34neg_Vehicle,C2,14
217,VID654_C2_1_00d16h00m.tif,IL34neg_Vehicle,C2,16
218,VID654_C2_1_00d18h00m.tif,IL34neg_Vehicle,C2,18
219,VID654_C2_1_00d20h00m.tif,IL34neg_Vehicle,C2,20
220,VID654_C2_1_00d22h00m.tif,IL34neg_Vehicle,C2,22
221,VID654_C2_1_01d00h00m.tif,IL34neg_Vehicle,C2,24
222,VID654_C2_3_00d00h00m.tif,IL34neg_Vehicle,C2,0
223,VID654_C2_3_00d02h00m.tif,IL34neg_Vehicle,C2,2
224,VID654_C2_3_00d04h00m.tif,IL34neg_Vehicle,C2,4
225,VID654_C2_3_00d06h00m.tif,IL34neg_Vehicle,C2,6
226,VID654_C2_3_00d08h00m.tif,IL34neg_Vehicle,C2,8
227,VID654_C2_3_00d10h00m.tif,IL34neg_Vehicle,C2,10
228,VID654_C2_3_00d12h00m.tif,IL34neg_Vehicle,C2,12
229,VID654_C2_3_00d14h00m.tif,IL34neg_Vehicle,C2,14
230,VID654_C2_3_00d16h00m.tif,IL34neg_Vehicle,C2,16
231,VID654_C2_3_00d18h00m.tif,IL34neg_Vehicle,C2,18
232,VID654_C2_3_00d20h00m.tif,IL34neg_Vehicle,C2,20
233,VID654_C2_3_00d22h00m.tif,IL34neg_Vehicle,C2,22
234,VID654_C2_3_01d00h00m.tif,IL34neg_Vehicle,C2,24
235,VID654_C3_1_00d00h00m.tif,LPS,C3,0
236,VID654_C3_1_00d02h00m.tif,LPS,C3,2
237,VID654_C3_1_00d04h00m.tif,LPS,C3,4
238,VID654_C3_1_00d06h00m.tif,LPS,C3,6
239,VID654_C3_1_00d08h00m.tif,LPS,C3,8
240,VID654_C3_1_00d10h00m.tif,LPS,C3,10
241,VID654_C3_1_00d12h00m.tif,LPS,C3,12
242,VID654_C3_1_00d14h00m.tif,LPS,C3,14
243,VID654_C3_1_00d16h00m.tif,LPS,C3,16
244,VID654_C3_1_00d18h00m.tif,LPS,C3,18
245,VID654_C3_1_00d20h00m.tif,LPS,C3,20
246,VID654_C3_1_00d22h00m.tif,LPS,C3,22
247,VID654_C3_1_01d00h00m.tif,LPS,C3,24
248,VID654_C3_3_00d00h00m.tif,LPS,C3,0
249,VID654_C3_3_00d02h00m.tif,LPS,C3,2
250,VID654_C3_3_00d04h00m.tif,LPS,C3,4
251,VID654_C3_3_00d06h00m.tif,LPS,C3,6
252,VID654_C3_3_00d08h00m.tif,LPS,C3,8
253,VID654_C3_3_00d10h00m.tif,LPS,C3,10
254,VID654_C3_3_00d12h00m.tif,LPS,C3,12
255,VID654_C3_3_00d14h00m.tif,LPS,C3,14
256,VID654_C3_3_00d16h00m.tif,LPS,C3,16
257,VID654_C3_3_00d18h00m.tif,LPS,C3,18
258,VID654_C3_3_00d20h00m.tif,LPS,C3,20
259,VID654_C3_3_00d22h00m.tif,LPS,C3,22
260,VID654_C3_3_01d00h00m.tif,LPS,C3,24
261,VID654_C4_1_00d00h00m.tif,IFNr,C4,0
262,VID654_C4_1_00d02h00m.tif,IFNr,C4,2
263,VID654_C4_1_00d04h00m.tif,IFNr,C4,4
264,VID654_C4_1_00d06h00m.tif,IFNr,C4,6
265,VID654_C4_1_00d08h00m.tif,IFNr,C4,8
266,VID654_C4_1_00d10h00m.tif,IFNr,C4,10
267,VID654_C4_1_00d12h00m.tif,IFNr,C4,12
268,VID654_C4_1_00d14h00m.tif,IFNr,C4,14
269,VID654_C4_1_00d16h00m.tif,IFNr,C4,16
270,VID654_C4_1_00d18h00m.tif,IFNr,C4,18
271,VID654_C4_1_00d20h00m.tif,IFNr,C4,20
272,VID654_C4_1_00d22h00m.tif,IFNr,C4,22
273,VID654_C4_1_01d00h00m.tif,IFNr,C4,24
274,VID654_C4_3_00d00h00m.tif,IFNr,C4,0
275,VID654_C4_3_00d02h00m.tif,IFNr,C4,2
276,VID654_C4_3_00d04h00m.tif,IFNr,C4,4
277,VID654_C4_3_00d06h00m.tif,IFNr,C4,6
278,VID654_C4_3_00d08h00m.tif,IFNr,C4,8
279,VID654_C4_3_00d10h00m.tif,IFNr,C4,10
280,VID654_C4_3_00d12h00m.tif,IFNr,C4,12
281,VID654_C4_3_00d14h00m.tif,IFNr,C4,14
282,VID654_C4_3_00d16h00m.tif,IFNr,C4,16
283,VID654_C4_3_00d18h00m.tif,IFNr,C4,18
284,VID654_C4_3_00d20h00m.tif,IFNr,C4,20
285,VID654_C4_3_00d22h00m.tif,IFNr,C4,22
286,VID654_C4_3_01d00h00m.tif,IFNr,C4,24
287,VID654_C5_1_00d00h00m.tif,LPS+IFNr,C5,0
288,VID654_C5_1_00d02h00m.tif,LPS+IFNr,C5,2
289,VID654_C5_1_00d04h00m.tif,LPS+IFNr,C5,4
290,VID654_C5_1_00d06h00m.tif,LPS+IFNr,C5,6
291,VID654_C5_1_00d08h00m.tif,LPS+IFNr,C5,8
292,VID654_C5_1_00d10h00m.tif,LPS+IFNr,C5,10
293,VID654_C5_1_00d12h00m.tif,LPS+IFNr,C5,12
294,VID654_C5_1_00d14h00m.tif,LPS+IFNr,C5,14
295,VID654_C5_1_00d16h00m.tif,LPS+IFNr,C5,16
296,VID654_C5_1_00d18h00m.tif,LPS+IFNr,C5,18
297,VID654_C5_1_00d20h00m.tif,LPS+IFNr,C5,20
298,VID654_C5_1_00d22h00m.tif,LPS+IFNr,C5,22
299,VID654_C5_1_01d00h00m.tif,LPS+IFNr,C5,24
300,VID654_C5_3_00d00h00m.tif,LPS+IFNr,C5,0
301,VID654_C5_3_00d02h00m.tif,LPS+IFNr,C5,2
302,VID654_C5_3_00d04h00m.tif,LPS+IFNr,C5,4
303,VID654_C5_3_00d06h00m.tif,LPS+IFNr,C5,6
304,VID654_C5_3_00d08h00m.tif,LPS+IFNr,C5,8
305,VID654_C5_3_00d10h00m.tif,LPS+IFNr,C5,10
306,VID654_C5_3_00d12h00m.tif,LPS+IFNr,C5,12
307,VID654_C5_3_00d14h00m.tif,LPS+IFNr,C5,14
308,VID654_C5_3_00d16h00m.tif,LPS+IFNr,C5,16
309,VID654_C5_3_00d18h00m.tif,LPS+IFNr,C5,18
310,VID654_C5_3_00d20h00m.tif,LPS+IFNr,C5,20
311,VID654_C5_3_00d22h00m.tif,LPS+IFNr,C5,22
312,VID654_C5_3_01d00h00m.tif,LPS+IFNr,C5,24
313,VID654_C6_1_00d00h00m.tif,IL34neg_IL1beta,C6,0
314,VID654_C6_1_00d02h00m.tif,IL34neg_IL1beta,C6,2
315,VID654_C6_1_00d04h00m.tif,IL34neg_IL1beta,C6,4
316,VID654_C6_1_00d06h00m.tif,IL34neg_IL1beta,C6,6
317,VID654_C6_1_00d08h00m.tif,IL34neg_IL1beta,C6,8
318,VID654_C6_1_00d10h00m.tif,IL34neg_IL1beta,C6,10
319,VID654_C6_1_00d12h00m.tif,IL34neg_IL1beta,C6,12
320,VID654_C6_1_00d14h00m.tif,IL34neg_IL1beta,C6,14
321,VID654_C6_1_00d16h00m.tif,IL34neg_IL1beta,C6,16
